Event,Year,Rider,Position,Cap/Bib,Class,Days,Hours,Minutes,Result,Bike,Data Source,Category,Finish Location,Notes,Slug
Arizona Trail Race (300),2018,Neil Beltchenko,1,,Solo,1,23,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Kaitlyn Boyle,2,,Solo,2,2,57,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Kurt Refsnider,3,,Solo,2,4,55,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dion Clark,4,,Solo,2,15,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dana Ernst,5,,Solo,2,15,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dustin Eroh,6,,Solo,2,18,7,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Darren Smith,7,,Solo,2,18,48,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Paul Spencer,8,,Solo,2,20,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Max Morris,9,,Solo,3,0,15,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jason Reamy,10,,Solo,2,23,47,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Ben Hanus,11,,Solo,3,0,27,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Rebecca Rusch,12,,Solo,3,0,46,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Paul Wissenbach,13,,Solo,3,0,59,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Curtis Barrett,14,,Solo,3,2,26,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Adam Marcinkiewicz,15,,Solo,3,6,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Brad Ells,16,,Solo,3,8,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Brian Lovett,17,,Solo,3,9,56,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Nick Armano,18,,Solo,3,12,24,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Robert Weinhold,19,,Solo,3,12,24,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Anthony Berberich,20,,Solo,3,12,50,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dan Holmes,21,,Solo,3,16,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Steve Denny,22,,Solo,3,17,14,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Louie Konkol,23,,Solo,3,17,16,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jeremy Hardwick,24,,Solo,3,17,25,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Beth Shaner,25,,Solo,3,20,32,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Greg Martin,26,,Solo,3,19,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Randy Young,27,,Solo,3,22,17,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Paul Kruger,28,,Solo,3,23,25,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dave Hoswell,29,,Solo,3,23,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Alice Drobna,30,,Solo,4,0,9,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dean Anderson,31,,Solo,4,4,8,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Justin Dubois,32,,Solo,4,4,44,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Rob Adams,33,,Solo,4,6,51,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Drew Huemmler,34,,Solo,4,7,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Keith Tomei,35,,Solo,4,8,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Scott Fisk,36,,Solo,4,12,17,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Ken Waring,37,,Solo,4,12,21,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Mark Caminiti,38,,Solo,4,15,6,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Daniel Dunn,39,,Solo,4,19,45,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dave Wicks,40,,Solo,5,5,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Ron Thomson,41,,Solo,5,13,55,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Chris Kuzdas,42,,ITT,5,3,1,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Clayton Peterson,43,,ITT,8,0,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Justin Manring,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Aaron Kennedy,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jason Hanson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Colton Smith,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Todd Otoole,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Steven Terry,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jennifer Hanson,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jerry Quesnel,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,William Simms,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Andrew Stauffer,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Beto Villegas,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Bret Vaterlaus,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Nathaniel Woiwode,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Bill Akens,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Thomas Seymour,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Aaron Summers,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Robert Esquerra,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Travis Waters,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Lee Hanyo,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Pete Basinger,1,,Solo,2,13,30,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Max Morris,2,,Solo,2,13,57,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Adam Marcinkiewicz,3,,Solo,2,18,37,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,David Collins,4,,Solo,2,20,35,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Adam Haughey,5,,Solo,2,21,43,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Paul LaCava,6,,Solo,3,5,45,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jeff Hemperley,7,,Solo,3,10,1,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Justin Smith,8,,Solo,3,10,35,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
